temp,humidity,wind,rainfall,risk
20,52,8,0,Low
19,50,9,3,Low
25,58,10,0,Low
34,93,3,38,Medium
30,84,4,17,Medium
33,70,5,5,Low
32,90,1,31,Medium
18,91,6,43,High
20,81,5,16,Medium
22,66,5,2,Low
20,83,5,7,Low
20,51,8,2,Low
18,66,6,3,Low
25,54,8,5,Low
21,93,6,38,Medium
35,53,2,2,Low
26,75,1,17,Medium
27,83,1,6,Low
24,83,8,20,Medium
27,98,1,47,High
32,80,9,8,Low
21,67,5,3,Low
26,87,10,31,Medium
28,99,9,55,High
30,94,1,60,High
27,86,10,44,High
21,74,7,14,Low
18,56,3,3,Low
31,77,1,5,Low
24,83,1,5,Low
19,56,9,2,Low
32,100,3,36,Medium
30,94,5,47,High
18,80,7,15,Low
19,88,5,21,Medium
23,70,3,4,Low
30,74,9,16,Medium
21,69,9,1,Low
19,72,1,18,Medium
32,52,9,0,Low
20,93,10,46,High
31,97,2,49,High
33,67,1,5,Low
32,99,6,42,High
22,57,8,1,Low
35,96,1,43,High
26,52,4,5,Low
25,70,1,3,Low
34,94,5,28,Medium
27,63,9,2,Low
23,57,8,3,Low
24,68,1,0,Low
25,68,1,0,Low
29,72,2,9,Low
32,99,8,26,Medium
32,69,6,2,Low
22,67,5,2,Low
19,90,1,58,High
33,74,9,18,Medium
25,69,5,4,Low
29,72,10,6,Low
29,66,8,3,Low
21,75,10,6,Low
19,93,6,27,Medium
31,61,7,1,Low
32,95,7,51,High
18,88,3,56,High
26,58,7,1,Low
33,62,6,3,Low
28,72,7,17,Medium
19,92,6,39,Medium
27,56,8,5,Low
30,57,4,3,Low
35,87,3,46,High
29,71,10,11,Low
25,94,8,50,High
21,59,8,2,Low
19,73,3,15,Low
33,61,2,1,Low
21,56,4,5,Low
29,66,8,5,Low
22,66,1,4,Low
34,93,10,33,Medium
20,63,2,4,Low
27,79,2,9,Low
25,95,2,54,High
28,94,6,25,Medium
27,74,8,8,Low
33,85,1,19,Medium
18,53,8,3,Low
33,93,1,53,High
25,66,7,5,Low
30,58,10,0,Low
24,61,1,2,Low
31,97,1,52,High
26,73,6,14,Low
26,87,7,41,High
21,87,7,33,Medium
26,51,8,0,Low
26,91,5,22,Medium
35,83,7,16,Medium
29,59,8,4,Low
23,100,5,35,Medium
34,78,9,16,Medium
21,79,3,6,Low
24,100,9,49,High
24,57,3,0,Low
25,99,8,35,Medium
26,60,5,3,Low
27,78,5,5,Low
35,75,6,15,Low
29,87,8,59,High
32,52,4,2,Low
21,64,6,5,Low
34,71,10,8,Low
32,92,5,58,High
25,99,6,48,High
24,71,3,18,Medium
32,89,2,36,Medium
24,89,2,32,Medium
30,88,6,37,Medium
19,55,3,4,Low
28,56,1,0,Low
28,70,8,5,Low
23,93,7,56,High
18,90,3,30,Medium
30,100,2,46,High
19,61,5,3,Low
25,51,3,4,Low
29,97,6,25,Medium
30,69,4,2,Low
23,73,6,16,Medium
31,96,3,59,High
19,100,6,39,Medium
32,51,6,2,Low
22,56,9,1,Low
33,73,5,10,Low
19,51,10,2,Low
29,85,9,9,Low
21,73,4,17,Medium
23,99,5,50,High
31,61,4,3,Low
26,100,8,32,Medium
33,61,4,2,Low
35,81,8,9,Low
27,67,5,2,Low
35,77,7,19,Medium
29,81,2,6,Low
29,86,10,54,High
34,57,10,2,Low
29,84,8,5,Low
21,92,7,35,Medium
25,85,8,5,Low
28,90,10,39,Medium
21,66,8,1,Low
27,92,9,56,High
19,51,9,4,Low
18,84,9,19,Medium
24,61,10,0,Low
25,69,6,3,Low
20,95,8,44,High
29,58,8,0,Low
34,75,7,6,Low
32,53,4,4,Low
20,79,5,16,Medium
22,80,9,7,Low
30,60,7,4,Low
24,78,2,7,Low
31,60,5,3,Low
18,83,3,13,Low
19,67,9,5,Low
27,94,7,38,Medium
20,91,5,50,High
23,80,2,20,Medium
30,77,8,9,Low
31,95,3,40,Medium
25,88,5,25,Medium
27,87,5,22,Medium
23,91,2,41,High
33,65,2,3,Low
29,57,7,3,Low
32,58,5,3,Low
34,80,1,6,Low
31,84,5,16,Medium
20,71,8,16,Medium
21,100,5,34,Medium
31,73,5,18,Medium
28,90,5,45,High
29,56,8,5,Low
34,64,10,5,Low
35,87,5,25,Medium
26,92,1,57,High
32,59,7,4,Low
30,80,8,14,Low
31,60,4,4,Low
21,52,8,4,Low
33,97,3,58,High
30,68,8,3,Low
34,84,4,16,Medium
31,50,4,3,Low
30,54,7,3,Low
31,57,8,1,Low
23,90,2,47,High
19,52,7,4,Low
21,79,4,16,Medium
